School_Name,K_12_enrollment,Percent_complete_for_all_immunizations,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_exempt_for_diphtheria_tetanus,Percent_exempt_for_pertussis,Percent_exempt_for_measles_mumps_rubella,Percent_exempt_for_polio,Percent_exempt_for_HepatitisB,Percent_exempt_for_varicella,Number_complete_for_all_immunizations,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_exempt_for_diphtheria_tetanus,Number_exempt_for_pertussis,Number_exempt_for_measles_mumps_rubella,Number_exempt_for_polio,Number_exempt_for_HepatitisB,Number_exempt_for_varicella,School_District,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,Location 1
STAHL JUNIOR HIGH,847.0,95.3,4.0,0.8,3.0,0.2,0.0,1.7,2.7,1.5,1.4,1.5,2.4,807.0,34.0,7.0,25.0,2.0,0.0,14.0,23.0,13.0,12.0,13.0,20.0,PUYALLUP SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-9,N,N,"9610 168TH ST E
PUYALLUP
(47.10332, -122.301863)"
RITZVILLE HIGH SCHOOL,129.0,78.3,4.7,0.0,3.9,0.8,0.0,2.3,2.3,1.6,0.8,2.3,2.3,101.0,6.0,0.0,5.0,1.0,0.0,3.0,3.0,2.0,1.0,3.0,3.0,RITZVILLE SCHOOL DISTRICT,ADAMS,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N,"209 E WELLSANDT AVENUE
RITZVILLE
(47.12558, -118.36689)"
ST. JOSEPH SCHOOL,122.0,86.1,3.3,0.0,3.3,0.0,0.0,0.8,0.8,0.8,0.8,3.3,0.8,105.0,4.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,CHEHALIS SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,P-8,Y,Y,"123 6TH ST
CHEHALIS
(46.656518, -122.9611)"
SELAH HIGH SCHOOL,1106.0,88.4,2.9,0.6,2.1,0.3,0.0,0.8,0.7,1.1,1.0,0.6,1.9,978.0,32.0,7.0,23.0,3.0,0.0,9.0,8.0,12.0,11.0,7.0,21.0,SELAH SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,10-12,N,N,"801 NORTH FIRST STREET
SELAH
(46.663449, -120.530389)"
LIBERTY MIDDLE SCHOOL,789.0,89.1,10.8,1.5,8.4,0.8,0.4,6.1,5.2,6.1,5.8,6.0,8.1,703.0,85.0,12.0,66.0,6.0,3.0,48.0,41.0,48.0,46.0,47.0,64.0,CAMAS SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,6-8,N,Y,"1612 NE GARFIELD ST
CAMAS
(45.591434, -122.403282)"
ORCAS ISLAND MIDDLE SCHOOL,53.0,37.7,17.0,1.9,15.1,0.0,0.0,5.7,5.7,5.7,5.7,13.2,11.3,20.0,9.0,1.0,8.0,0.0,0.0,3.0,3.0,3.0,3.0,7.0,6.0,ORCAS ISLAND SCHOOL DISTRICT,SAN JUAN,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,7-8,N,N,"715 SCHOOL RD
EASTSOUND
(48.69864, -122.901853)"
MAYFLOWER CHRISTIAN SCHOOL,17.0,94.1,5.9,0.0,5.9,0.0,0.0,5.9,5.9,5.9,5.9,5.9,5.9,16.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,CLE ELUM-ROSLYN SCHOOL DISTRICT,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,P-1,Y,N,"541 E 3RD ST
CLE ELUM
(47.195829, -120.929687)"
TUKWILA ELEMENTARY,563.0,92.7,3.7,0.0,3.0,0.5,0.2,2.3,2.1,2.5,2.5,2.1,2.7,522.0,21.0,0.0,17.0,3.0,1.0,13.0,12.0,14.0,14.0,12.0,15.0,TUKWILA SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"5939 S 149TH ST
TUKWILA
(47.469576, -122.259194)"
ROSE HILL ELEMENTARY,455.0,87.9,4.8,1.3,3.5,0.0,0.2,2.9,2.9,3.5,3.3,3.5,3.5,400.0,22.0,6.0,16.0,0.0,1.0,13.0,13.0,16.0,15.0,16.0,16.0,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"8044 128TH AVE NE
KIRKLAND
(47.676206, -122.169333)"
ROBERT GRAY ELEMENTARY,348.0,90.8,0.9,0.0,0.9,0.0,0.0,0.9,0.9,0.9,0.9,0.9,0.9,316.0,3.0,0.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,ABERDEEN SCHOOL DISTRICT,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,PK-6,Y,Y,"1516 NORTH B ST
ABERDEEN
(46.986268, -123.814278)"
KAPKA COOPERATIVE SCHOOL,54.0,64.8,35.2,0.0,33.3,1.9,0.0,20.4,20.4,24.1,24.1,29.6,29.6,35.0,19.0,0.0,18.0,1.0,0.0,11.0,11.0,13.0,13.0,16.0,16.0,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-3,Y,N,"510 N 49TH STREET
SEATTLE
(47.664287, -122.35259)"
SOUTHGATE ELEMENTARY SCHOOL,495.0,96.8,2.8,0.2,2.6,0.0,0.0,2.0,2.0,2.4,2.0,1.6,2.6,479.0,14.0,1.0,13.0,0.0,0.0,10.0,10.0,12.0,10.0,8.0,13.0,KENNEWICK SCHOOL DISTRICT,BENTON,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N,"3121 WEST 19TH AVENUE
KENNEWICK
(46.191514, -119.165085)"
TUMWATER HILL ELEMENTARY,475.0,87.4,4.2,0.6,2.7,0.2,0.6,3.2,3.2,3.2,3.4,2.7,3.8,415.0,20.0,3.0,13.0,1.0,3.0,15.0,15.0,15.0,16.0,13.0,18.0,TUMWATER SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -6,Y,Y,"3120 RIDGEVIEW ST SW
TUMWATER
(47.015322, -122.924009)"
WALLA WALLA VALLEY ACADEMY,168.0,95.8,4.2,0.0,4.2,0.0,0.0,4.2,4.2,3.6,3.6,3.6,4.2,161.0,7.0,0.0,7.0,0.0,0.0,7.0,7.0,6.0,6.0,6.0,7.0,COLLEGE PLACE SCHOOL DISTRICT,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,9-12,N,N,"300 SW ACADEMY WAY
COLLEGE PLACE
(46.047086, -118.399039)"
WEST SEATTLE HIGH SCHOOL,1007.0,66.9,10.5,8.4,3.6,0.0,0.0,2.5,2.4,1.7,1.7,3.2,9.4,674.0,106.0,85.0,36.0,0.0,0.0,25.0,24.0,17.0,17.0,32.0,95.0,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N,"3000 CALIFORNIA AV SW
SEATTLE
(47.576582, -122.386733)"
SUMNER MIDDLE SCHOOL,760.0,90.0,5.7,0.9,4.6,0.4,0.0,2.6,2.1,2.9,3.3,2.4,4.3,684.0,43.0,7.0,35.0,3.0,0.0,20.0,16.0,22.0,25.0,18.0,33.0,SUMNER SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y,"1508 WILLOW
SUMNER
(47.195371, -122.234858)"
STILLAGUAMISH SCHOOL,148.0,52.0,20.3,0.7,18.9,0.7,0.0,16.2,14.9,15.5,14.2,14.9,16.9,77.0,30.0,1.0,28.0,1.0,0.0,24.0,22.0,23.0,21.0,22.0,25.0,ARLINGTON SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -12,Y,Y,"1215 E 5TH
ARLINGTON
(48.1981, -122.1129)"
ZILLAH HIGH SCHOOL,430.0,81.4,1.9,0.2,1.6,0.7,0.0,1.2,1.2,1.4,1.2,0.7,1.2,350.0,8.0,1.0,7.0,3.0,0.0,5.0,5.0,6.0,5.0,3.0,5.0,ZILLAH SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,9-12,N,N,"1602 SECOND AVE
ZILLAH
(46.401091, -120.245327)"
SUQUAMISH ELEMENTARY SCHOOL,377.0,92.0,7.2,2.1,4.2,0.8,0.0,4.0,4.0,3.4,4.0,4.2,5.6,347.0,27.0,8.0,16.0,3.0,0.0,15.0,15.0,13.0,15.0,16.0,21.0,NORTH KITSAP SCHOOL DISTRICT,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -5,Y,N,"18950 PARK AVE NE
SUQUAMISH
(47.735629, -122.556973)"
WOODLAND ELEMENTARY,701.0,96.4,3.0,1.4,1.1,0.4,0.0,1.6,1.7,1.9,2.0,1.6,2.3,676.0,21.0,10.0,8.0,3.0,0.0,11.0,12.0,13.0,14.0,11.0,16.0,PUYALLUP SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,"7707 112TH ST E
PUYALLUP
(47.154849, -122.326184)"
THE RIVER ACADEMY,190.0,77.4,20.5,1.1,20.5,0.0,0.0,15.3,15.8,15.3,13.7,14.2,17.9,147.0,39.0,2.0,39.0,0.0,0.0,29.0,30.0,29.0,26.0,27.0,34.0,WENATCHEE SCHOOL DISTRICT,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K-12,Y,Y,"650 CRAWFORD ST
WENATCHEE
(47.404254, -120.31516)"
POULSBO ELEMENTARY SCHOOL,498.0,95.0,4.0,1.4,2.2,0.4,0.0,2.6,2.6,2.4,2.6,2.4,2.6,473.0,20.0,7.0,11.0,2.0,0.0,13.0,13.0,12.0,13.0,12.0,13.0,NORTH KITSAP SCHOOL DISTRICT,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,PK-5,Y,N,"18531 NOLL RD NE
POULSBO
(47.731602, -122.61736)"
SAMISH ELEMENTARY SCHOOL,173.0,90.2,8.1,2.9,5.2,0.0,0.0,6.4,6.4,6.4,6.9,5.8,7.5,156.0,14.0,5.0,9.0,0.0,0.0,11.0,11.0,11.0,12.0,10.0,13.0,SEDRO-WOOLLEY SCHOOL DISTRICT,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y,"23953 PRAIRIE ROAD
SEDRO-WOOLLEY
(48.585532, -122.225297)"
RIVERSIDE CHRISTIAN SCHOOL,320.0,97.5,2.5,0.6,1.6,0.3,0.0,1.9,1.9,2.2,2.2,2.2,2.2,312.0,8.0,2.0,5.0,1.0,0.0,6.0,6.0,7.0,7.0,7.0,7.0,EAST VALLEY SCHOOL DISTRICT (YAKIMA),YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,P-12,Y,Y,"721 KEYS RD
YAKIMA
(46.595626, -120.459595)"
ST. LOUISE SCHOOL,385.0,95.8,4.2,0.5,3.6,0.0,0.0,2.3,2.3,2.6,2.9,2.6,4.2,369.0,16.0,2.0,14.0,0.0,0.0,9.0,9.0,10.0,11.0,10.0,16.0,BELLEVUE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y,"133 156TH AVE SE
BELLEVUE
(47.608906, -122.132222)"
SMITH ELEMENTARY SCHOOL,622.0,74.9,0.3,0.0,0.3,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.3,466.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,GRANDVIEW SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,PK-5,Y,N,"205 FIR AVE
GRANDVIEW
(46.253992, -119.889274)"
WILDWOOD ELEMENTARY,470.0,86.6,3.4,0.4,3.0,0.0,0.0,2.6,1.3,2.8,2.6,1.9,2.6,407.0,16.0,2.0,14.0,0.0,0.0,12.0,6.0,13.0,12.0,9.0,12.0,PUYALLUP SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,Y,Y,"1601 26TH AVE SE
PUYALLUP
(47.166171, -122.275487)"
WHITMAN ELEMENTARY SCHOOL,407.0,95.6,2.5,0.0,1.7,0.2,0.5,2.0,1.2,2.0,2.2,1.7,2.2,389.0,10.0,0.0,7.0,1.0,2.0,8.0,5.0,8.0,9.0,7.0,9.0,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"1120 S 39TH ST
TACOMA
(47.221798, -122.449298)"
TACOMA SCHOOL OF THE ARTS,628.0,89.2,6.2,0.5,5.4,0.5,0.0,3.5,4.8,4.1,3.7,4.1,5.3,560.0,39.0,3.0,34.0,3.0,0.0,22.0,30.0,26.0,23.0,26.0,33.0,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,10-12,N,N,"1950 PACIFIC AVENUE
TACOMA
(47.243338, -122.4364)"
MOUNTAIN VIEW ELEMENTARY,615.0,93.3,2.8,1.0,1.8,0.0,0.2,2.0,1.8,2.1,2.1,1.8,2.4,574.0,17.0,6.0,11.0,0.0,1.0,12.0,11.0,13.0,13.0,11.0,15.0,SHELTON SCHOOL DISTRICT,MASON,EDUCATIONAL SERVICE DISTRICT 113,PK-5,Y,N,"534 E. ""K"" ST.
SHELTON
(40.775739, -98.736722)"
WOODLAND HIGH SCHOOL,716.0,91.2,5.7,0.6,4.7,0.7,0.0,3.4,3.2,2.8,2.1,2.7,4.1,653.0,41.0,4.0,34.0,5.0,0.0,24.0,23.0,20.0,15.0,19.0,29.0,WOODLAND SCHOOL DISTRICT,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,9-12,N,N,"757 PARK
WOODLAND
(45.903553, -122.748024)"
WEST VALLEY HIGH SCHOOL,1201.0,75.0,3.5,0.6,2.8,0.1,0.0,2.3,2.2,1.9,1.5,1.7,3.0,901.0,42.0,7.0,34.0,1.0,0.0,28.0,26.0,23.0,18.0,21.0,36.0,WEST VALLEY SCHOOL DISTRICT (YAKIMA),YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,10-12,N,N,"9800 ZIER RD
YAKIMA
(46.574717, -120.637682)"
NEW START,101.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HIGHLINE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N,"614 SW 120TH ST
SEATTLE
(47.495741, -122.342409)"
MERCER ISLAND HIGH SCHOOL,1503.0,95.8,3.3,1.1,2.1,0.1,0.0,1.8,1.5,2.1,1.7,2.1,2.3,1440.0,50.0,17.0,32.0,1.0,0.0,27.0,22.0,32.0,25.0,32.0,34.0,MERCER ISLAND SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N,"9100 SE 42ND
MERCER ISLAND
(47.570927, -122.220217)"
OLYMPIA COMMUNITY SCHOOL,30.0,66.7,33.3,10.0,23.3,0.0,0.0,13.3,13.3,20.0,23.3,26.7,20.0,20.0,10.0,3.0,7.0,0.0,0.0,4.0,4.0,6.0,7.0,8.0,6.0,OLYMPIA SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K-5,Y,N,"1601 NORTH ST SE
OLYMPIA
(47.016537, -122.880719)"
SCENIC HILL ELEMENTARY SCHOOL,599.0,87.5,1.3,0.3,1.0,0.0,0.0,0.5,0.5,0.5,0.7,1.0,1.0,524.0,8.0,2.0,6.0,0.0,0.0,3.0,3.0,3.0,4.0,6.0,6.0,KENT SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,"26025 WOODLAND WAY S
KENT
(47.369199, -122.21027)"
LITTLE OAK MONTESSORI SCHOOL--2ND LOCATION,34.0,67.6,32.4,0.0,29.4,0.0,2.9,20.6,20.6,14.7,29.4,23.5,8.8,23.0,11.0,0.0,10.0,0.0,1.0,7.0,7.0,5.0,10.0,8.0,3.0,WHITE SALMON VALLEY SCHOOL DISTRICT,KITTITAS,EDUCATIONAL SERVICE DISTRICT 112,1-6,N,Y,"871 NE ESTES
WHITE SALMON
(45.733973, -121.483568)"
QUINCY JUNIOR HIGH,413.0,95.9,0.5,0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.5,396.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,QUINCY SCHOOL DISTRICT,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,7-8,N,N,"417 C ST SE
QUINCY
(47.235431, -119.846158)"
STEVENSON ELEMENTARY,568.0,76.2,3.2,1.6,1.6,0.0,0.0,0.7,0.7,0.7,0.5,0.9,2.3,433.0,18.0,9.0,9.0,0.0,0.0,4.0,4.0,4.0,3.0,5.0,13.0,BELLEVUE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"14220 NE 8TH STREET
BELLEVUE
(47.617126, -122.150784)"
LAKELAND ELEMENTARY SCHOOL,410.0,87.1,10.7,0.7,9.5,0.0,0.5,9.3,9.3,10.0,9.8,8.5,10.0,357.0,44.0,3.0,39.0,0.0,2.0,38.0,38.0,41.0,40.0,35.0,41.0,FEDERAL WAY SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"35827 32ND AV S
AUBURN
(47.280154, -122.292302)"
SOAR ACADEMY PUBLIC CHARTER SCHOOL,139.0,60.4,3.6,0.0,2.9,0.7,0.0,3.6,3.6,3.6,3.6,3.6,3.6,84.0,5.0,0.0,4.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,SOAR ACADEMY CHARTER DISTRICT,PIERCE,OFFICE OF SUPERINTENDENT OF PUBLIC INSTRUCTION,K-8,Y,Y,"2136 MARTIN LUTHER KING JR. WAY
TACOMA
(47.240455, -122.449079)"
ST. PAUL'S ACADEMY,105.0,91.4,7.6,1.9,5.7,0.0,0.0,6.7,6.7,6.7,6.7,7.6,6.7,96.0,8.0,2.0,6.0,0.0,0.0,7.0,7.0,7.0,7.0,8.0,7.0,BELLINGHAM SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-12,Y,Y,"3000 NORTHWEST AVE
BELLINGHAM
(48.770289, -122.492871)"
ISSAQUAH HIGH SCHOOL,2329.0,92.7,3.6,1.1,2.7,0.2,0.0,2.0,1.7,1.8,1.3,2.0,1.8,2159.0,85.0,26.0,64.0,4.0,0.0,46.0,40.0,41.0,31.0,46.0,42.0,ISSAQUAH SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N,"700 2ND AVE SE
ISSAQUAH
(47.522687, -122.030481)"
UPPER COLUMBIA ACADEMY,219.0,52.5,4.1,0.9,3.2,0.0,0.0,4.1,4.1,4.1,4.1,3.7,3.7,115.0,9.0,2.0,7.0,0.0,0.0,9.0,9.0,9.0,9.0,8.0,8.0,LIBERTY SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N,"3025 E SPANGLE WAVERLY RD
SPANGLE
(47.41242, -117.367294)"
LAKE STEVENS SR HIGH SCHOOL,1940.0,86.4,4.4,0.7,3.6,0.3,0.0,2.6,2.1,2.4,1.7,2.2,2.1,1676.0,85.0,13.0,70.0,5.0,0.0,50.0,41.0,46.0,33.0,42.0,41.0,LAKE STEVENS SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,10-12,N,N,"2908 113 AVE NE
LAKE STEVENS
(48.022753, -122.078799)"
KIMBALL ELEMENTARY SCHOOL,427.0,88.5,2.1,1.2,1.4,0.5,0.0,0.7,0.7,1.4,1.6,1.4,2.6,378.0,9.0,5.0,6.0,2.0,0.0,3.0,3.0,6.0,7.0,6.0,11.0,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"3200 23 AV S
SEATTLE
(47.574087, -122.303353)"
WAYNE M HENKLE MIDDLE SCHOOL,190.0,85.8,11.6,1.6,9.5,1.1,0.5,5.8,5.3,6.3,4.7,4.2,7.9,163.0,22.0,3.0,18.0,2.0,1.0,11.0,10.0,12.0,9.0,8.0,15.0,WHITE SALMON VALLEY SCHOOL DISTRICT,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 112,5-8,N,Y,"480 NW LOOP ROAD
WHITE SALMON
(45.739269, -121.493632)"
LINCOLN ELEMENTARY SCHOOL,400.0,84.3,5.8,0.8,5.0,0.0,0.0,3.8,3.3,3.5,4.0,4.8,4.8,337.0,23.0,3.0,20.0,0.0,0.0,15.0,13.0,14.0,16.0,19.0,19.0,VANCOUVER SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,"4200 DANIELS ST
VANCOUVER
(45.655901, -122.675578)"
TOLT MIDDLE SCHOOL,734.0,88.1,7.6,0.5,6.9,0.3,0.0,4.1,3.4,4.1,4.6,4.5,6.3,647.0,56.0,4.0,51.0,2.0,0.0,30.0,25.0,30.0,34.0,33.0,46.0,RIVERVIEW SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y,"3740 TOLT AVE
CARNATION
(47.642825, -121.915265)"
JASON LEE MIDDLE SCHOOL,534.0,90.4,6.7,0.2,5.6,1.1,0.0,4.5,3.4,4.1,4.3,4.3,5.2,483.0,36.0,1.0,30.0,6.0,0.0,24.0,18.0,22.0,23.0,23.0,28.0,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y,"602 N SPRAGUE AVE
TACOMA
(47.256394, -122.463034)"
PIONEER PRIMARY SCHOOL,315.0,96.2,2.5,1.0,1.6,0.0,0.0,1.9,1.9,1.9,1.9,1.9,2.5,303.0,8.0,3.0,5.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,8.0,PIONEER SCHOOL DISTRICT,MASON,EDUCATIONAL SERVICE DISTRICT 113,PK-3,Y,N,"110 E SPENCER LAKE RD.
SHELTON
(47.259276, -122.99851)"
LINWOOD ELEMENTARY,514.0,93.2,4.3,0.8,2.7,0.0,0.8,2.7,2.7,2.7,2.7,2.7,3.3,479.0,22.0,4.0,14.0,0.0,4.0,14.0,14.0,14.0,14.0,14.0,17.0,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y,"906 W WEILE AVE
SPOKANE
(47.722381, -117.423496)"
VALE ELEMENTARY SCHOOL,628.0,93.2,3.7,0.5,3.2,0.0,0.0,3.3,3.3,2.9,3.2,3.0,2.7,585.0,23.0,3.0,20.0,0.0,0.0,21.0,21.0,18.0,20.0,19.0,17.0,CASHMERE SCHOOL DISTRICT,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,PK-4,Y,N,"101 PIONEER AVENUE
CASHMERE
(47.516921, -120.470688)"
THE SAMMAMISH MONTESSORI SCHOOL,40.0,97.5,2.5,0.0,2.5,0.0,0.0,2.5,2.5,2.5,2.5,2.5,2.5,39.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-4,Y,N,"7655 178TH PL NE
REDMOND
(47.672372, -122.100674)"
RIVERSIDE HIGH SCHOOL,457.0,74.2,7.7,2.0,5.5,0.4,0.0,2.8,2.6,2.8,2.0,3.3,5.7,339.0,35.0,9.0,25.0,2.0,0.0,13.0,12.0,13.0,9.0,15.0,26.0,RIVERSIDE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N,"4120 EAST DEER PARK-MILAN RD.
CHATTAROY
(47.970603, -117.352687)"
THE CLEARWATER SCHOOL,42.0,54.8,45.2,0.0,45.2,0.0,0.0,33.3,33.3,45.2,45.2,45.2,40.5,23.0,19.0,0.0,19.0,0.0,0.0,14.0,14.0,19.0,19.0,19.0,17.0,NORTHSHORE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-12,Y,Y,"1510 196TH ST SE
BOTHELL
(47.820316, -122.211657)"
THORNTON CREEK ELEMENTARY SCHOOL,460.0,80.9,12.8,4.6,8.9,0.2,0.0,4.1,3.9,6.3,7.6,8.9,10.0,372.0,59.0,21.0,41.0,1.0,0.0,19.0,18.0,29.0,35.0,41.0,46.0,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"7711 43 AV NE
SEATTLE
(47.685596, -122.282084)"
WALKER HIGH SCHOOL,166.0,68.7,1.8,0.0,1.8,0.0,0.0,1.2,1.8,1.2,1.8,1.8,1.2,114.0,3.0,0.0,3.0,0.0,0.0,2.0,3.0,2.0,3.0,3.0,2.0,PUYALLUP SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,8-12,N,N,"5715 MILWAUKEE AVE E
PUYALLUP
(47.205633, -122.283235)"
ST. ROSE SCHOOL,114.0,98.2,1.8,1.8,0.0,0.0,0.0,0.0,0.0,1.8,0.9,0.0,0.0,112.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,LONGVIEW SCHOOL DISTRICT,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,P-8,Y,Y,"720 26TH AVE
LONGVIEW
(46.1326, -122.953557)"
VAUGHN ELEMENTARY SCHOOL,362.0,91.2,6.1,0.6,5.5,0.0,0.0,5.0,5.0,5.5,5.5,5.0,6.1,330.0,22.0,2.0,20.0,0.0,0.0,18.0,18.0,20.0,20.0,18.0,22.0,PENINSULA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"17521 HALL ROAD KPN
VAUGHN
(47.34282, -122.771185)"
STEVENS MIDDLE SCHOOL,686.0,98.3,0.6,0.0,0.4,0.1,0.1,0.4,0.4,0.4,0.4,0.4,0.6,674.0,4.0,0.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,PASCO SCHOOL DISTRICT,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,6-8,N,Y,"1120 N 22ND AVENUE
PASCO
(46.239036, -119.120009)"
SHORELINE CHRISTIAN SCHOOL,174.0,85.1,14.9,0.6,14.4,0.0,0.0,13.8,13.8,14.4,13.8,13.8,13.8,148.0,26.0,1.0,25.0,0.0,0.0,24.0,24.0,25.0,24.0,24.0,24.0,SHORELINE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-12,Y,Y,"2400 NE 147TH ST
SEATTLE
(47.735649, -122.302959)"
